model_id,vf_original,vf_generated,vf_abs_error,vf_abs_error_std,vf_percent_error,vf_percent_error_std,two_point_mae,two_point_mae_std,nsd_abs_error,nsd_abs_error_std,nsd_percent_error,nsd_percent_error_std
microstructure376,0.545049,0.340997,0.204052,0.013496,37.437407,2.476113,0.184216,0.061078,0.102486,0.056862,32.148370,17.836786
microstructure393,0.477678,0.385078,0.122312,0.089624,25.605620,18.762353,0.131242,0.080810,0.039646,0.025165,31.327789,19.884975
